"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","HUR","TOT","PC_LF","A","1994",10.41667,
"CAN","HUR","TOT","PC_LF","A","1995",9.508333,
"CAN","HUR","TOT","PC_LF","A","1996",9.608334,
"CAN","HUR","TOT","PC_LF","A","1997",9.116667,
"CAN","HUR","TOT","PC_LF","A","1998",8.283334,
"CAN","HUR","TOT","PC_LF","A","1999",7.591667,
"CAN","HUR","TOT","PC_LF","A","2000",6.816667,
"CAN","HUR","TOT","PC_LF","A","2001",7.216667,
"CAN","HUR","TOT","PC_LF","A","2002",7.675,
"CAN","HUR","TOT","PC_LF","A","2003",7.575,
"CAN","HUR","TOT","PC_LF","A","2004",7.191667,
"CAN","HUR","TOT","PC_LF","A","2005",6.758333,
"CAN","HUR","TOT","PC_LF","A","2006",6.35,
"CAN","HUR","TOT","PC_LF","A","2007",6.066667,
"CAN","HUR","TOT","PC_LF","A","2008",6.175,
"CAN","HUR","TOT","PC_LF","A","2009",8.375,
"CAN","HUR","TOT","PC_LF","A","2010",8.116667,
"CAN","HUR","TOT","PC_LF","A","2011",7.558333,
"CAN","HUR","TOT","PC_LF","A","2012",7.333333,
"CAN","HUR","TOT","PC_LF","A","2013",7.125,
"CAN","HUR","TOT","PC_LF","A","2014",6.941667,
"CAN","HUR","TOT","PC_LF","A","2015",6.941667,
"CAN","HUR","TOT","PC_LF","A","2016",7.05,
"CAN","HUR","TOT","PC_LF","A","2017",6.4,
"CAN","HUR","TOT","PC_LF","A","2018",5.891667,
"CAN","HUR","TOT","PC_LF","A","2019",5.733333,
"FRA","HUR","TOT","PC_LF","A","1994",12.275,
"FRA","HUR","TOT","PC_LF","A","1995",11.95,
"FRA","HUR","TOT","PC_LF","A","1996",12.4,
"FRA","HUR","TOT","PC_LF","A","1997",12.33333,
"FRA","HUR","TOT","PC_LF","A","1998",12.05,
"FRA","HUR","TOT","PC_LF","A","1999",11.31667,
"FRA","HUR","TOT","PC_LF","A","2000",9.558333,
"FRA","HUR","TOT","PC_LF","A","2001",8.741667,
"FRA","HUR","TOT","PC_LF","A","2002",8.633333,
"FRA","HUR","TOT","PC_LF","A","2003",8.508333,
"FRA","HUR","TOT","PC_LF","A","2004",8.9,
"FRA","HUR","TOT","PC_LF","A","2005",8.883333,
"FRA","HUR","TOT","PC_LF","A","2006",8.85,
"FRA","HUR","TOT","PC_LF","A","2007",8.016666,
"FRA","HUR","TOT","PC_LF","A","2008",7.433333,
"FRA","HUR","TOT","PC_LF","A","2009",9.116667,
"FRA","HUR","TOT","PC_LF","A","2010",9.275,
"FRA","HUR","TOT","PC_LF","A","2011",9.216666,
"FRA","HUR","TOT","PC_LF","A","2012",9.758333,
"FRA","HUR","TOT","PC_LF","A","2013",10.3,
"FRA","HUR","TOT","PC_LF","A","2014",10.275,
"FRA","HUR","TOT","PC_LF","A","2015",10.35,
"FRA","HUR","TOT","PC_LF","A","2016",10.06667,
"FRA","HUR","TOT","PC_LF","A","2017",9.425,
"FRA","HUR","TOT","PC_LF","A","2018",9.025,
"FRA","HUR","TOT","PC_LF","A","2019",8.433333,
"DEU","HUR","TOT","PC_LF","A","1994",8.45,
"DEU","HUR","TOT","PC_LF","A","1995",8.25,
"DEU","HUR","TOT","PC_LF","A","1996",8.941667,
"DEU","HUR","TOT","PC_LF","A","1997",9.675,
"DEU","HUR","TOT","PC_LF","A","1998",9.45,
"DEU","HUR","TOT","PC_LF","A","1999",8.625,
"DEU","HUR","TOT","PC_LF","A","2000",8.008333,
"DEU","HUR","TOT","PC_LF","A","2001",7.858333,
"DEU","HUR","TOT","PC_LF","A","2002",8.683333,
"DEU","HUR","TOT","PC_LF","A","2003",9.808333,
"DEU","HUR","TOT","PC_LF","A","2004",10.5,
"DEU","HUR","TOT","PC_LF","A","2005",11.28333,
"DEU","HUR","TOT","PC_LF","A","2006",10.275,
"DEU","HUR","TOT","PC_LF","A","2007",8.541667,
"DEU","HUR","TOT","PC_LF","A","2008",7.425,
"DEU","HUR","TOT","PC_LF","A","2009",7.641667,
"DEU","HUR","TOT","PC_LF","A","2010",6.966667,
"DEU","HUR","TOT","PC_LF","A","2011",5.833333,
"DEU","HUR","TOT","PC_LF","A","2012",5.383333,
"DEU","HUR","TOT","PC_LF","A","2013",5.241667,
"DEU","HUR","TOT","PC_LF","A","2014",4.991667,
"DEU","HUR","TOT","PC_LF","A","2015",4.633333,
"DEU","HUR","TOT","PC_LF","A","2016",4.133333,
"DEU","HUR","TOT","PC_LF","A","2017",3.758333,
"DEU","HUR","TOT","PC_LF","A","2018",3.4,
"DEU","HUR","TOT","PC_LF","A","2019",3.15,
"ITA","HUR","TOT","PC_LF","A","1994",10.65,
"ITA","HUR","TOT","PC_LF","A","1995",11.18333,
"ITA","HUR","TOT","PC_LF","A","1996",11.16667,
"ITA","HUR","TOT","PC_LF","A","1997",11.21667,
"ITA","HUR","TOT","PC_LF","A","1998",11.3,
"ITA","HUR","TOT","PC_LF","A","1999",10.86667,
"ITA","HUR","TOT","PC_LF","A","2000",10.05,
"ITA","HUR","TOT","PC_LF","A","2001",9.008333,
"ITA","HUR","TOT","PC_LF","A","2002",8.475,
"ITA","HUR","TOT","PC_LF","A","2003",8.433333,"B"
"ITA","HUR","TOT","PC_LF","A","2004",8.05,"P"
"ITA","HUR","TOT","PC_LF","A","2005",7.783333,"P"
"ITA","HUR","TOT","PC_LF","A","2006",6.866667,"P"
"ITA","HUR","TOT","PC_LF","A","2007",6.15,"P"
"ITA","HUR","TOT","PC_LF","A","2008",6.775,"P"
"ITA","HUR","TOT","PC_LF","A","2009",7.875,"P"
"ITA","HUR","TOT","PC_LF","A","2010",8.541667,"P"
"ITA","HUR","TOT","PC_LF","A","2011",8.508333,"P"
"ITA","HUR","TOT","PC_LF","A","2012",10.88333,"P"
"ITA","HUR","TOT","PC_LF","A","2013",12.375,"P"
"ITA","HUR","TOT","PC_LF","A","2014",12.825,"P"
"ITA","HUR","TOT","PC_LF","A","2015",12.025,"P"
"ITA","HUR","TOT","PC_LF","A","2016",11.76667,"P"
"ITA","HUR","TOT","PC_LF","A","2017",11.275,"P"
"ITA","HUR","TOT","PC_LF","A","2018",10.675,"P"
"ITA","HUR","TOT","PC_LF","A","2019",10.025,"P"
"JPN","HUR","TOT","PC_LF","A","1994",2.891667,
"JPN","HUR","TOT","PC_LF","A","1995",3.15,
"JPN","HUR","TOT","PC_LF","A","1996",3.35,
"JPN","HUR","TOT","PC_LF","A","1997",3.4,
"JPN","HUR","TOT","PC_LF","A","1998",4.108333,
"JPN","HUR","TOT","PC_LF","A","1999",4.683333,
"JPN","HUR","TOT","PC_LF","A","2000",4.716667,
"JPN","HUR","TOT","PC_LF","A","2001",5.033333,
"JPN","HUR","TOT","PC_LF","A","2002",5.375,
"JPN","HUR","TOT","PC_LF","A","2003",5.258333,
"JPN","HUR","TOT","PC_LF","A","2004",4.716667,
"JPN","HUR","TOT","PC_LF","A","2005",4.425,
"JPN","HUR","TOT","PC_LF","A","2006",4.141667,
"JPN","HUR","TOT","PC_LF","A","2007",3.841667,
"JPN","HUR","TOT","PC_LF","A","2008",3.991667,
"JPN","HUR","TOT","PC_LF","A","2009",5.066667,
"JPN","HUR","TOT","PC_LF","A","2010",5.05,
"JPN","HUR","TOT","PC_LF","A","2011",4.583333,
"JPN","HUR","TOT","PC_LF","A","2012",4.35,
"JPN","HUR","TOT","PC_LF","A","2013",4.025,
"JPN","HUR","TOT","PC_LF","A","2014",3.591667,
"JPN","HUR","TOT","PC_LF","A","2015",3.375,
"JPN","HUR","TOT","PC_LF","A","2016",3.116667,
"JPN","HUR","TOT","PC_LF","A","2017",2.808333,
"JPN","HUR","TOT","PC_LF","A","2018",2.441667,
"JPN","HUR","TOT","PC_LF","A","2019",2.35,
"GBR","HUR","TOT","PC_LF","A","1994",9.512666,
"GBR","HUR","TOT","PC_LF","A","1995",8.638574,
"GBR","HUR","TOT","PC_LF","A","1996",8.113807,
"GBR","HUR","TOT","PC_LF","A","1997",6.98159,
"GBR","HUR","TOT","PC_LF","A","1998",6.26345,
"GBR","HUR","TOT","PC_LF","A","1999",5.979465,
"GBR","HUR","TOT","PC_LF","A","2000",5.458603,
"GBR","HUR","TOT","PC_LF","A","2001",5.09697,
"GBR","HUR","TOT","PC_LF","A","2002",5.184958,
"GBR","HUR","TOT","PC_LF","A","2003",5.007329,
"GBR","HUR","TOT","PC_LF","A","2004",4.747302,
"GBR","HUR","TOT","PC_LF","A","2005",4.823375,
"GBR","HUR","TOT","PC_LF","A","2006",5.417598,
"GBR","HUR","TOT","PC_LF","A","2007",5.32914,
"GBR","HUR","TOT","PC_LF","A","2008",5.68196,
"GBR","HUR","TOT","PC_LF","A","2009",7.611054,
"GBR","HUR","TOT","PC_LF","A","2010",7.867382,
"GBR","HUR","TOT","PC_LF","A","2011",8.106182,
"GBR","HUR","TOT","PC_LF","A","2012",7.965578,
"GBR","HUR","TOT","PC_LF","A","2013",7.603673,
"GBR","HUR","TOT","PC_LF","A","2014",6.178483,
"GBR","HUR","TOT","PC_LF","A","2015",5.383935,
"GBR","HUR","TOT","PC_LF","A","2016",4.892704,
"GBR","HUR","TOT","PC_LF","A","2017",4.401906,
"GBR","HUR","TOT","PC_LF","A","2018",4.080814,
"GBR","HUR","TOT","PC_LF","A","2019",3.833521,
"USA","HUR","TOT","PC_LF","A","1994",6.083333,
"USA","HUR","TOT","PC_LF","A","1995",5.608333,
"USA","HUR","TOT","PC_LF","A","1996",5.416667,
"USA","HUR","TOT","PC_LF","A","1997",4.95,
"USA","HUR","TOT","PC_LF","A","1998",4.508333,
"USA","HUR","TOT","PC_LF","A","1999",4.216667,
"USA","HUR","TOT","PC_LF","A","2000",3.991667,
"USA","HUR","TOT","PC_LF","A","2001",4.733333,
"USA","HUR","TOT","PC_LF","A","2002",5.775,
"USA","HUR","TOT","PC_LF","A","2003",5.991667,
"USA","HUR","TOT","PC_LF","A","2004",5.533333,
"USA","HUR","TOT","PC_LF","A","2005",5.066667,
"USA","HUR","TOT","PC_LF","A","2006",4.616667,
"USA","HUR","TOT","PC_LF","A","2007",4.616667,
"USA","HUR","TOT","PC_LF","A","2008",5.775,
"USA","HUR","TOT","PC_LF","A","2009",9.266666,
"USA","HUR","TOT","PC_LF","A","2010",9.616667,
"USA","HUR","TOT","PC_LF","A","2011",8.95,
"USA","HUR","TOT","PC_LF","A","2012",8.066667,
"USA","HUR","TOT","PC_LF","A","2013",7.375,
"USA","HUR","TOT","PC_LF","A","2014",6.166667,
"USA","HUR","TOT","PC_LF","A","2015",5.291667,
"USA","HUR","TOT","PC_LF","A","2016",4.866667,
"USA","HUR","TOT","PC_LF","A","2017",4.35,
"USA","HUR","TOT","PC_LF","A","2018",3.9,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
